total_step,loss:
10700,"tensor(87, device='cuda:0', dtype=torch.int32)"
10800,"tensor(88, device='cuda:0', dtype=torch.int32)"
10900,"tensor(103, device='cuda:0', dtype=torch.int32)"
11000,"tensor(101, device='cuda:0', dtype=torch.int32)"
11100,"tensor(102, device='cuda:0', dtype=torch.int32)"
11200,"tensor(96, device='cuda:0', dtype=torch.int32)"
11300,"tensor(93, device='cuda:0', dtype=torch.int32)"
11400,"tensor(90, device='cuda:0', dtype=torch.int32)"
11500,"tensor(100, device='cuda:0', dtype=torch.int32)"
11600,"tensor(104, device='cuda:0', dtype=torch.int32)"
11700,"tensor(98, device='cuda:0', dtype=torch.int32)"
11800,"tensor(95, device='cuda:0', dtype=torch.int32)"
11900,"tensor(107, device='cuda:0', dtype=torch.int32)"
12000,"tensor(85, device='cuda:0', dtype=torch.int32)"
12100,"tensor(94, device='cuda:0', dtype=torch.int32)"
12200,"tensor(100, device='cuda:0', dtype=torch.int32)"
12300,"tensor(90, device='cuda:0', dtype=torch.int32)"
12400,"tensor(97, device='cuda:0', dtype=torch.int32)"
12500,"tensor(101, device='cuda:0', dtype=torch.int32)"
12600,"tensor(93, device='cuda:0', dtype=torch.int32)"
12700,"tensor(90, device='cuda:0', dtype=torch.int32)"
12800,"tensor(110, device='cuda:0', dtype=torch.int32)"
12900,"tensor(97, device='cuda:0', dtype=torch.int32)"
13000,"tensor(90, device='cuda:0', dtype=torch.int32)"
13100,"tensor(88, device='cuda:0', dtype=torch.int32)"
13200,"tensor(88, device='cuda:0', dtype=torch.int32)"
13300,"tensor(90, device='cuda:0', dtype=torch.int32)"
13400,"tensor(104, device='cuda:0', dtype=torch.int32)"
13500,"tensor(96, device='cuda:0', dtype=torch.int32)"
13600,"tensor(92, device='cuda:0', dtype=torch.int32)"
13700,"tensor(97, device='cuda:0', dtype=torch.int32)"
13800,"tensor(98, device='cuda:0', dtype=torch.int32)"
13900,"tensor(98, device='cuda:0', dtype=torch.int32)"
14000,"tensor(95, device='cuda:0', dtype=torch.int32)"
14100,"tensor(94, device='cuda:0', dtype=torch.int32)"
14200,"tensor(95, device='cuda:0', dtype=torch.int32)"
14300,"tensor(92, device='cuda:0', dtype=torch.int32)"
14400,"tensor(101, device='cuda:0', dtype=torch.int32)"
14500,"tensor(100, device='cuda:0', dtype=torch.int32)"
14600,"tensor(97, device='cuda:0', dtype=torch.int32)"
14700,"tensor(91, device='cuda:0', dtype=torch.int32)"
14800,"tensor(91, device='cuda:0', dtype=torch.int32)"
14900,"tensor(99, device='cuda:0', dtype=torch.int32)"
15000,"tensor(113, device='cuda:0', dtype=torch.int32)"
15100,"tensor(96, device='cuda:0', dtype=torch.int32)"
15200,"tensor(94, device='cuda:0', dtype=torch.int32)"
15300,"tensor(91, device='cuda:0', dtype=torch.int32)"
15400,"tensor(90, device='cuda:0', dtype=torch.int32)"
15500,"tensor(96, device='cuda:0', dtype=torch.int32)"
15600,"tensor(102, device='cuda:0', dtype=torch.int32)"
15700,"tensor(114, device='cuda:0', dtype=torch.int32)"
15800,"tensor(116, device='cuda:0', dtype=torch.int32)"
15900,"tensor(93, device='cuda:0', dtype=torch.int32)"
16000,"tensor(111, device='cuda:0', dtype=torch.int32)"
16100,"tensor(96, device='cuda:0', dtype=torch.int32)"
16200,"tensor(90, device='cuda:0', dtype=torch.int32)"
16300,"tensor(101, device='cuda:0', dtype=torch.int32)"
16400,"tensor(97, device='cuda:0', dtype=torch.int32)"
16500,"tensor(92, device='cuda:0', dtype=torch.int32)"
16600,"tensor(89, device='cuda:0', dtype=torch.int32)"
16700,"tensor(86, device='cuda:0', dtype=torch.int32)"
16800,"tensor(94, device='cuda:0', dtype=torch.int32)"
16900,"tensor(120, device='cuda:0', dtype=torch.int32)"
17000,"tensor(91, device='cuda:0', dtype=torch.int32)"
17100,"tensor(95, device='cuda:0', dtype=torch.int32)"
17200,"tensor(115, device='cuda:0', dtype=torch.int32)"
17300,"tensor(95, device='cuda:0', dtype=torch.int32)"
17400,"tensor(86, device='cuda:0', dtype=torch.int32)"
17500,"tensor(88, device='cuda:0', dtype=torch.int32)"
17600,"tensor(122, device='cuda:0', dtype=torch.int32)"
17700,"tensor(86, device='cuda:0', dtype=torch.int32)"
17800,"tensor(93, device='cuda:0', dtype=torch.int32)"
17900,"tensor(104, device='cuda:0', dtype=torch.int32)"
18000,"tensor(90, device='cuda:0', dtype=torch.int32)"
18100,"tensor(95, device='cuda:0', dtype=torch.int32)"
18200,"tensor(87, device='cuda:0', dtype=torch.int32)"
18300,"tensor(85, device='cuda:0', dtype=torch.int32)"
18400,"tensor(103, device='cuda:0', dtype=torch.int32)"
18500,"tensor(100, device='cuda:0', dtype=torch.int32)"
18600,"tensor(95, device='cuda:0', dtype=torch.int32)"
18700,"tensor(112, device='cuda:0', dtype=torch.int32)"
18800,"tensor(90, device='cuda:0', dtype=torch.int32)"
18900,"tensor(106, device='cuda:0', dtype=torch.int32)"
19000,"tensor(83, device='cuda:0', dtype=torch.int32)"
19100,"tensor(93, device='cuda:0', dtype=torch.int32)"
19200,"tensor(87, device='cuda:0', dtype=torch.int32)"
19300,"tensor(99, device='cuda:0', dtype=torch.int32)"
19400,"tensor(87, device='cuda:0', dtype=torch.int32)"
19500,"tensor(100, device='cuda:0', dtype=torch.int32)"
19600,"tensor(88, device='cuda:0', dtype=torch.int32)"
19700,"tensor(109, device='cuda:0', dtype=torch.int32)"
19800,"tensor(100, device='cuda:0', dtype=torch.int32)"
19900,"tensor(92, device='cuda:0', dtype=torch.int32)"
20000,"tensor(94, device='cuda:0', dtype=torch.int32)"
20100,"tensor(88, device='cuda:0', dtype=torch.int32)"
20200,"tensor(117, device='cuda:0', dtype=torch.int32)"
20300,"tensor(115, device='cuda:0', dtype=torch.int32)"
20400,"tensor(91, device='cuda:0', dtype=torch.int32)"
20500,"tensor(88, device='cuda:0', dtype=torch.int32)"
20600,"tensor(110, device='cuda:0', dtype=torch.int32)"
20700,"tensor(87, device='cuda:0', dtype=torch.int32)"
20800,"tensor(94, device='cuda:0', dtype=torch.int32)"
20900,"tensor(85, device='cuda:0', dtype=torch.int32)"
21000,"tensor(87, device='cuda:0', dtype=torch.int32)"
21100,"tensor(107, device='cuda:0', dtype=torch.int32)"
21200,"tensor(91, device='cuda:0', dtype=torch.int32)"
21300,"tensor(94, device='cuda:0', dtype=torch.int32)"
21400,"tensor(96, device='cuda:0', dtype=torch.int32)"
21500,"tensor(101, device='cuda:0', dtype=torch.int32)"
21600,"tensor(86, device='cuda:0', dtype=torch.int32)"
21700,"tensor(95, device='cuda:0', dtype=torch.int32)"
21800,"tensor(91, device='cuda:0', dtype=torch.int32)"
21900,"tensor(90, device='cuda:0', dtype=torch.int32)"
22000,"tensor(99, device='cuda:0', dtype=torch.int32)"
22100,"tensor(100, device='cuda:0', dtype=torch.int32)"
22200,"tensor(108, device='cuda:0', dtype=torch.int32)"
22300,"tensor(93, device='cuda:0', dtype=torch.int32)"
22400,"tensor(93, device='cuda:0', dtype=torch.int32)"
22500,"tensor(100, device='cuda:0', dtype=torch.int32)"
22600,"tensor(90, device='cuda:0', dtype=torch.int32)"
22700,"tensor(92, device='cuda:0', dtype=torch.int32)"
22800,"tensor(86, device='cuda:0', dtype=torch.int32)"
22900,"tensor(98, device='cuda:0', dtype=torch.int32)"
23000,"tensor(90, device='cuda:0', dtype=torch.int32)"
23100,"tensor(105, device='cuda:0', dtype=torch.int32)"
23200,"tensor(92, device='cuda:0', dtype=torch.int32)"
23300,"tensor(93, device='cuda:0', dtype=torch.int32)"
23400,"tensor(95, device='cuda:0', dtype=torch.int32)"
23500,"tensor(97, device='cuda:0', dtype=torch.int32)"
23600,"tensor(88, device='cuda:0', dtype=torch.int32)"
23700,"tensor(96, device='cuda:0', dtype=torch.int32)"
23800,"tensor(103, device='cuda:0', dtype=torch.int32)"
23900,"tensor(102, device='cuda:0', dtype=torch.int32)"
24000,"tensor(86, device='cuda:0', dtype=torch.int32)"
24100,"tensor(97, device='cuda:0', dtype=torch.int32)"
24200,"tensor(87, device='cuda:0', dtype=torch.int32)"
24300,"tensor(84, device='cuda:0', dtype=torch.int32)"
24400,"tensor(91, device='cuda:0', dtype=torch.int32)"
24500,"tensor(115, device='cuda:0', dtype=torch.int32)"
24600,"tensor(88, device='cuda:0', dtype=torch.int32)"
24700,"tensor(99, device='cuda:0', dtype=torch.int32)"
24800,"tensor(88, device='cuda:0', dtype=torch.int32)"
24900,"tensor(93, device='cuda:0', dtype=torch.int32)"
25000,"tensor(86, device='cuda:0', dtype=torch.int32)"
